iter	Passed	Remaining
0	142	142605
1	149	74525
2	156	52037
3	163	40604
4	170	33851
5	176	29247
6	183	26043
7	190	23601
8	196	21687
9	204	20292
10	211	19035
11	219	18093
12	226	17204
13	235	16555
14	241	15874
15	249	15361
16	256	14849
17	265	14471
18	272	14067
19	279	13713
20	286	13370
21	293	13036
22	301	12801
23	307	12519
24	315	12300
25	321	12061
26	329	11886
27	336	11689
28	343	11497
29	350	11338
30	357	11172
31	364	11036
32	371	10880
33	378	10757
34	385	10631
35	392	10504
36	399	10392
37	405	10274
38	413	10194
39	420	10086
40	427	10007
41	434	9915
42	442	9837
43	448	9753
44	455	9662
45	462	9589
46	468	9509
47	476	9460
48	483	9384
49	490	9327
50	497	9260
51	504	9189
52	511	9132
53	517	9065
54	525	9021
55	531	8963
56	538	8913
57	545	8858
58	551	8799
59	560	8773
60	567	8730
61	574	8698
62	581	8646
63	588	8606
64	594	8558
65	601	8508
66	608	8469
67	614	8422
68	622	8392
69	628	8355
70	636	8323
71	642	8284
72	649	8243
73	656	8211
74	662	8172
75	670	8147
76	676	8112
77	683	8078
78	689	8041
79	696	8008
80	703	7986
81	710	7954
82	718	7934
83	725	7907
84	731	7877
85	738	7849
86	744	7816
87	752	7796
88	758	7763
89	766	7747
90	772	7721
91	779	7693
92	786	7671
93	792	7639
94	799	7618
95	806	7592
96	813	7573
97	820	7549
98	827	7526
99	834	7514
100	841	7488
101	848	7471
102	855	7446
103	862	7430
104	869	7409
105	875	7385
106	883	7370
107	890	7356
108	898	7345
109	905	7328
110	914	7321
111	921	7308
112	930	7300
113	937	7283
114	944	7271
115	952	7255
116	959	7241
117	967	7229
118	975	7222
119	984	7216
120	992	7208
121	999	7192
122	1006	7177
123	1014	7169
124	1022	7154
125	1029	7143
126	1036	7127
127	1044	7116
128	1051	7101
129	1059	7092
130	1066	7076
131	1074	7064
132	1080	7044
133	1087	7025
134	1093	7008
135	1100	6991
136	1108	6982
137	1115	6965
138	1123	6956
139	1130	6943
140	1137	6929
141	1143	6910
142	1150	6892
143	1158	6885
144	1164	6866
145	1207	7065
146	1222	7091
147	1229	7077
148	1236	7060
149	1242	7043
150	1249	7025
151	1255	7006
152	1263	6992
153	1269	6974
154	1276	6960
155	1283	6942
156	1289	6924
157	1296	6909
158	1302	6891
159	1310	6877
160	1316	6859
161	1322	6843
162	1329	6827
163	1335	6809
164	1343	6799
165	1350	6785
166	1358	6774
167	1364	6758
168	1371	6742
169	1378	6728
170	1384	6711
171	1391	6700
172	1398	6683
173	1405	6671
174	1411	6656
175	1418	6640
176	1425	6627
177	1431	6611
178	1439	6600
179	1445	6584
180	1452	6570
181	1458	6556
182	1465	6541
183	1472	6528
184	1478	6513
185	1485	6502
186	1492	6488
187	1498	6473
188	1505	6461
189	1512	6447
190	1519	6435
191	1525	6421
192	1532	6407
193	1539	6395
194	1546	6382
195	1553	6373
196	1560	6359
197	1567	6347
198	1573	6334
199	1580	6321
200	1587	6309
201	1593	6295
202	1601	6287
203	1607	6273
204	1615	6263
205	1621	6249
206	1627	6235
207	1635	6225
208	1641	6213
209	1649	6204
210	1655	6191
211	1662	6179
212	1668	6166
213	1675	6152
214	1682	6142
215	1688	6129
216	1696	6120
217	1702	6107
218	1709	6096
219	1716	6085
220	1722	6072
221	1730	6064
222	1736	6052
223	1743	6041
224	1750	6028
225	1757	6018
226	1764	6009
227	1771	5999
228	1779	5991
229	1786	5979
230	1793	5969
231	1800	5958
232	1806	5946
233	1813	5936
234	1819	5923
235	1827	5914
236	1833	5902
237	1840	5892
238	1845	5876
239	1851	5864
240	1859	5855
241	1865	5842
242	1872	5831
243	1878	5820
244	1884	5808
245	1892	5800
246	1898	5788
247	1906	5782
248	1914	5774
249	1920	5760
250	1927	5750
251	1933	5739
252	1940	5730
253	1946	5718
254	1954	5709
255	1960	5697
256	1965	5682
257	1973	5674
258	1979	5663
259	1986	5654
260	1992	5642
261	1999	5631
262	2006	5621
263	2012	5610
264	2019	5602
265	2026	5592
266	2033	5581
267	2040	5572
268	2046	5561
269	2053	5552
270	2059	5540
271	2066	5531
272	2073	5521
273	2080	5511
274	2087	5503
275	2093	5492
276	2100	5483
277	2107	5472
278	2113	5461
279	2120	5453
280	2126	5442
281	2134	5434
282	2140	5423
283	2147	5414
284	2154	5404
285	2160	5394
286	2168	5386
287	2174	5375
288	2181	5367
289	2188	5357
290	2194	5346
291	2201	5337
292	2207	5326
293	2214	5318
294	2221	5308
295	2227	5299
296	2234	5288
297	2241	5279
298	2248	5271
299	2255	5261
300	2262	5253
301	2268	5243
302	2275	5233
303	2282	5224
304	2288	5214
305	2295	5206
306	2301	5195
307	2308	5186
308	2315	5177
309	2321	5167
310	2328	5159
311	2335	5149
312	2342	5142
313	2349	5132
314	2355	5121
315	2362	5113
316	2368	5103
317	2376	5096
318	2382	5086
319	2389	5077
320	2395	5067
321	2402	5058
322	2409	5051
323	2416	5041
324	2423	5033
325	2429	5023
326	2436	5013
327	2442	5004
328	2449	4994
329	2456	4986
330	2462	4977
331	2468	4967
332	2475	4958
333	2482	4949
334	2489	4941
335	2495	4931
336	2502	4923
337	2509	4914
338	2515	4905
339	2522	4896
340	2528	4887
341	2535	4878
342	2542	4870
343	2549	4861
344	2556	4853
345	2562	4844
346	2570	4836
347	2576	4826
348	2583	4818
349	2589	4809
350	2596	4800
351	2603	4793
352	2609	4783
353	2617	4776
354	2623	4766
355	2629	4757
356	2636	4748
357	2642	4739
358	2649	4731
359	2656	4721
360	2662	4712
361	2668	4703
362	2675	4694
363	2682	4687
364	2689	4678
365	2695	4670
366	2703	4662
367	2709	4653
368	2716	4645
369	2723	4637
370	2730	4629
371	2736	4620
372	2743	4611
373	2749	4602
374	2756	4593
375	2763	4586
376	2770	4577
377	2777	4569
378	2783	4561
379	2790	4552
380	2797	4544
381	2803	4535
382	2810	4527
383	2817	4519
384	2823	4509
385	2830	4502
386	2836	4493
387	2843	4485
388	2850	4476
389	2856	4467
390	2863	4459
391	2869	4451
392	2877	4444
393	2883	4435
394	2891	4428
395	2897	4419
396	2903	4410
397	2911	4403
398	2917	4394
399	2924	4386
400	2930	4378
401	2938	4370
402	2944	4362
403	2950	4353
404	2956	4343
405	2962	4334
406	2968	4325
407	2975	4317
408	2982	4309
409	2989	4302
410	2996	4293
411	3002	4284
412	3008	4276
413	3015	4268
414	3022	4261
415	3029	4252
416	3036	4245
417	3042	4236
418	3048	4227
419	3056	4220
420	3062	4211
421	3069	4204
422	3076	4196
423	3082	4187
424	3089	4179
425	3095	4170
426	3102	4163
427	3109	4155
